Route,Departing_Port,Arriving_Port,Airline,Date,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month,lat0,long0,lat1,long1
Canberra-Melbourne,Canberra,Melbourne,QantasLink,Feb-22,146.0,137,9.0,122.0,121.0,15.0,16.0,40958,466,64.5,470,19250260,29859100,63530,2022,2,-35.307,149.195,-38.039,144.469
Canberra-Melbourne,Canberra,Melbourne,Rex Airlines,Feb-22,19.0,19,0.0,16.0,17.0,3.0,2.0,40958,466,64.5,470,19250260,29859100,63530,2022,2,-35.307,149.195,-38.039,144.469
Canberra-Melbourne,Canberra,Melbourne,Virgin Australia,Feb-22,68.0,67,1.0,52.0,55.0,15.0,12.0,40958,466,64.5,470,19250260,29859100,63530,2022,2,-35.307,149.195,-38.039,144.469
Canberra-Melbourne,Canberra,Melbourne,All Airlines,Feb-22,242.0,231,11.0,197.0,199.0,34.0,32.0,40958,466,64.5,470,19250260,29859100,63530,2022,2,-35.307,149.195,-38.039,144.469
Darwin-Perth,Darwin,Perth,Qantas,Feb-22,13.0,13,0.0,12.0,13.0,1.0,0.0,0,0,0.0,2651,0,0,0,2022,2,-12.415,130.877,-31.961,115.868
Darwin-Perth,Darwin,Perth,Virgin Australia Regional Airlines,Feb-22,3.0,3,0.0,2.0,3.0,1.0,0.0,0,0,0.0,2651,0,0,0,2022,2,-12.415,130.877,-31.961,115.868
Darwin-Perth,Darwin,Perth,All Airlines,Feb-22,16.0,16,0.0,14.0,16.0,2.0,0.0,0,0,0.0,2651,0,0,0,2022,2,-12.415,130.877,-31.961,115.868
Kalgoorlie-Perth,Kalgoorlie,Perth,Qantas,Feb-22,20.0,20,0.0,18.0,18.0,2.0,2.0,19181,256,52.0,538,10319378,19854352,36904,2022,2,-30.789,121.462,-31.961,115.868
Kalgoorlie-Perth,Kalgoorlie,Perth,QantasLink,Feb-22,48.0,48,0.0,40.0,40.0,8.0,8.0,19181,256,52.0,538,10319378,19854352,36904,2022,2,-30.789,121.462,-31.961,115.868
Kalgoorlie-Perth,Kalgoorlie,Perth,Virgin Australia,Feb-22,30.0,30,0.0,27.0,27.0,3.0,3.0,19181,256,52.0,538,10319378,19854352,36904,2022,2,-30.789,121.462,-31.961,115.868
Kalgoorlie-Perth,Kalgoorlie,Perth,Virgin Australia Regional Airlines,Feb-22,26.0,26,0.0,23.0,23.0,3.0,3.0,19181,256,52.0,538,10319378,19854352,36904,2022,2,-30.789,121.462,-31.961,115.868
Kalgoorlie-Perth,Kalgoorlie,Perth,All Airlines,Feb-22,124.0,124,0.0,108.0,108.0,16.0,16.0,19181,256,52.0,538,10319378,19854352,36904,2022,2,-30.789,121.462,-31.961,115.868
Karratha-Perth,Karratha,Perth,Qantas,Feb-22,60.0,59,1.0,57.0,55.0,2.0,4.0,30597,370,50.1,1250,38246250,76392500,61114,2022,2,-20.712,116.773,-31.961,115.868
Karratha-Perth,Karratha,Perth,QantasLink,Feb-22,76.0,75,1.0,72.0,72.0,3.0,3.0,30597,370,50.1,1250,38246250,76392500,61114,2022,2,-20.712,116.773,-31.961,115.868
Karratha-Perth,Karratha,Perth,Virgin Australia,Feb-22,30.0,30,0.0,27.0,28.0,3.0,2.0,30597,370,50.1,1250,38246250,76392500,61114,2022,2,-20.712,116.773,-31.961,115.868
Karratha-Perth,Karratha,Perth,Virgin Australia Regional Airlines,Feb-22,18.0,18,0.0,15.0,15.0,3.0,3.0,30597,370,50.1,1250,38246250,76392500,61114,2022,2,-20.712,116.773,-31.961,115.868
Karratha-Perth,Karratha,Perth,All Airlines,Feb-22,184.0,182,2.0,171.0,170.0,11.0,12.0,30597,370,50.1,1250,38246250,76392500,61114,2022,2,-20.712,116.773,-31.961,115.868
Melbourne-Perth,Melbourne,Perth,Qantas,Feb-22,31.0,31,0.0,10.0,14.0,21.0,17.0,17731,250,65.3,2706,47980086,73511196,27166,2022,2,-38.039,144.469,-31.961,115.868
Melbourne-Perth,Melbourne,Perth,Virgin Australia,Feb-22,39.0,38,1.0,12.0,27.0,26.0,11.0,17731,250,65.3,2706,47980086,73511196,27166,2022,2,-38.039,144.469,-31.961,115.868
Melbourne-Perth,Melbourne,Perth,All Airlines,Feb-22,70.0,69,1.0,22.0,41.0,47.0,28.0,17731,250,65.3,2706,47980086,73511196,27166,2022,2,-38.039,144.469,-31.961,115.868
Perth-Newman,Perth,Newman,Qantas,Feb-22,14.0,13,1.0,11.0,12.0,2.0,1.0,24493,326,46.8,1019,24958367,53326308,52332,2022,2,-31.961,115.868,-23.418,119.803
Perth-Newman,Perth,Newman,QantasLink,Feb-22,96.0,94,2.0,83.0,84.0,11.0,10.0,24493,326,46.8,1019,24958367,53326308,52332,2022,2,-31.961,115.868,-23.418,119.803
Perth-Newman,Perth,Newman,Virgin Australia,Feb-22,22.0,22,0.0,20.0,19.0,2.0,3.0,24493,326,46.8,1019,24958367,53326308,52332,2022,2,-31.961,115.868,-23.418,119.803
Perth-Newman,Perth,Newman,Virgin Australia Regional Airlines,Feb-22,30.0,30,0.0,27.0,27.0,3.0,3.0,24493,326,46.8,1019,24958367,53326308,52332,2022,2,-31.961,115.868,-23.418,119.803
Perth-Newman,Perth,Newman,All Airlines,Feb-22,162.0,159,3.0,141.0,142.0,18.0,17.0,24493,326,46.8,1019,24958367,53326308,52332,2022,2,-31.961,115.868,-23.418,119.803
